model,device,input_w,input_h,output_w,output_h,avg_time_ms,frames
FSRCNN_x2.pb,cpu,128,72,3840,2160,1.37,30
FSRCNN_x2.pb,gpu,128,72,3840,2160,6.66,30
FSRCNN_x3.pb,cpu,128,72,3840,2160,1.48,30
FSRCNN_x3.pb,gpu,128,72,3840,2160,6.67,30
FSRCNN_x4.pb,cpu,128,72,3840,2160,1.71,30
FSRCNN_x4.pb,gpu,128,72,3840,2160,7.15,30
RealESRGAN_x4.onnx,cpu,128,72,3840,2160,6.4,30
RealESRGAN_x4.onnx,gpu,128,72,3840,2160,6.42,30
FSRCNN_x2.pb,cpu,640,360,3840,2160,175.09,30
FSRCNN_x2.pb,gpu,640,360,3840,2160,146.64,30
FSRCNN_x3.pb,cpu,640,360,3840,2160,202.13,30
FSRCNN_x3.pb,gpu,640,360,3840,2160,165.17,30
FSRCNN_x4.pb,cpu,640,360,3840,2160,216.78,30
FSRCNN_x4.pb,gpu,640,360,3840,2160,182.19,30
RealESRGAN_x4.onnx,cpu,640,360,3840,2160,6.42,30
RealESRGAN_x4.onnx,gpu,640,360,3840,2160,6.29,30
FSRCNN_x2.pb,cpu,1280,720,3840,2160,1028.17,30
FSRCNN_x2.pb,gpu,1280,720,3840,2160,613.14,30
FSRCNN_x3.pb,cpu,1280,720,3840,2160,1075.41,30
FSRCNN_x3.pb,gpu,1280,720,3840,2160,668.11,30
FSRCNN_x4.pb,cpu,1280,720,3840,2160,1127.6,30
FSRCNN_x4.pb,gpu,1280,720,3840,2160,724.52,30
RealESRGAN_x4.onnx,cpu,1280,720,3840,2160,6.42,30
RealESRGAN_x4.onnx,gpu,1280,720,3840,2160,6.38,30
FSRCNN_x2.pb,cpu,1920,1080,3840,2160,2319.59,30
FSRCNN_x2.pb,gpu,1920,1080,3840,2160,1357.03,30
FSRCNN_x3.pb,cpu,1920,1080,3840,2160,2408.98,30
FSRCNN_x3.pb,gpu,1920,1080,3840,2160,1463.12,30
FSRCNN_x4.pb,cpu,1920,1080,3840,2160,2522.88,30
FSRCNN_x4.pb,gpu,1920,1080,3840,2160,1633.37,30
RealESRGAN_x4.onnx,cpu,1920,1080,3840,2160,6.57,30
RealESRGAN_x4.onnx,gpu,1920,1080,3840,2160,6.55,30
FSRCNN_x2.pb,cpu,2560,1440,3840,2160,4144.48,30
FSRCNN_x2.pb,gpu,2560,1440,3840,2160,2448.37,30
FSRCNN_x3.pb,cpu,2560,1440,3840,2160,4302.05,30
FSRCNN_x3.pb,gpu,2560,1440,3840,2160,2611.69,30
FSRCNN_x4.pb,cpu,2560,1440,3840,2160,4518.06,30
FSRCNN_x4.pb,gpu,2560,1440,3840,2160,2872.87,30
RealESRGAN_x4.onnx,cpu,2560,1440,3840,2160,6.69,30
RealESRGAN_x4.onnx,gpu,2560,1440,3840,2160,6.62,30
