device,backend,scale,in_w,in_h,out_w,out_h,load_tag,iters,mean_ms,p50_ms,p95_ms,fps_p50
dGPU,ORT:CUDA,2,256,144,512,288,idle,50,0.738,0.738,0.743,1355.1
iGPU,OV:GPU,2,256,144,512,288,idle,50,2.123,2.055,2.412,486.5
CPU,OV:CPU,2,256,144,512,288,idle,50,0.823,0.825,0.839,1212.2
dGPU,ORT:CUDA,2,320,180,640,360,idle,50,1.383,1.379,1.42,725.2
iGPU,OV:GPU,2,320,180,640,360,idle,50,3.359,3.35,3.449,298.5
CPU,OV:CPU,2,320,180,640,360,idle,50,1.31,1.262,1.467,792.2
dGPU,ORT:CUDA,2,480,270,960,540,idle,50,3.443,3.416,3.558,292.7
iGPU,OV:GPU,2,480,270,960,540,idle,50,7.584,7.535,7.935,132.7
CPU,OV:CPU,2,480,270,960,540,idle,50,4.539,4.622,6.615,216.3
dGPU,ORT:CUDA,2,640,360,1280,720,idle,50,6.791,6.776,6.838,147.6
iGPU,OV:GPU,2,640,360,1280,720,idle,50,14.05,13.883,14.938,72.0
CPU,OV:CPU,2,640,360,1280,720,idle,50,11.706,11.802,12.587,84.7
dGPU,ORT:CUDA,2,960,540,1920,1080,idle,50,17.406,17.399,17.55,57.5
iGPU,OV:GPU,2,960,540,1920,1080,idle,50,32.341,32.108,33.588,31.1
CPU,OV:CPU,2,960,540,1920,1080,idle,50,33.429,32.99,36.618,30.3
dGPU,ORT:CUDA,2,1280,720,2560,1440,idle,50,31.408,31.321,31.999,31.9
iGPU,OV:GPU,2,1280,720,2560,1440,idle,50,59.051,59.113,60.613,16.9
CPU,OV:CPU,2,1280,720,2560,1440,idle,50,64.34,62.9,73.453,15.9
dGPU,ORT:CUDA,3,256,144,768,432,idle,50,0.848,0.843,0.896,1186.4
iGPU,OV:GPU,3,256,144,768,432,idle,50,2.212,2.191,2.306,456.4
CPU,OV:CPU,3,256,144,768,432,idle,50,0.94,0.937,0.989,1067.0
dGPU,ORT:CUDA,3,320,180,960,540,idle,50,1.503,1.5,1.528,666.6
iGPU,OV:GPU,3,320,180,960,540,idle,50,3.58,3.535,4.217,282.9
CPU,OV:CPU,3,320,180,960,540,idle,50,2.406,2.351,3.432,425.4
dGPU,ORT:CUDA,3,480,270,1440,810,idle,50,3.762,3.715,3.977,269.2
iGPU,OV:GPU,3,480,270,1440,810,idle,50,7.989,7.987,8.217,125.2
CPU,OV:CPU,3,480,270,1440,810,idle,50,4.946,5.043,6.436,198.3
dGPU,ORT:CUDA,3,640,360,1920,1080,idle,50,7.401,7.372,7.572,135.6
iGPU,OV:GPU,3,640,360,1920,1080,idle,50,15.372,15.267,16.534,65.5
CPU,OV:CPU,3,640,360,1920,1080,idle,50,13.416,13.339,14.89,75.0
dGPU,ORT:CUDA,3,960,540,2880,1620,idle,50,18.444,18.409,18.683,54.3
iGPU,OV:GPU,3,960,540,2880,1620,idle,50,33.115,32.857,34.237,30.4
CPU,OV:CPU,3,960,540,2880,1620,idle,50,37.729,37.017,46.567,27.0
dGPU,ORT:CUDA,3,1280,720,3840,2160,idle,50,33.171,33.092,33.598,30.2
iGPU,OV:GPU,3,1280,720,3840,2160,idle,50,62.376,61.604,66.249,16.2
CPU,OV:CPU,3,1280,720,3840,2160,idle,50,64.317,64.082,67.288,15.6
dGPU,ORT:CUDA,4,256,144,1024,576,idle,50,0.96,0.959,0.973,1042.7
iGPU,OV:GPU,4,256,144,1024,576,idle,50,2.455,2.438,2.586,410.1
CPU,OV:CPU,4,256,144,1024,576,idle,50,1.081,1.002,1.389,998.0
dGPU,ORT:CUDA,4,320,180,1280,720,idle,50,1.727,1.722,1.787,580.6
iGPU,OV:GPU,4,320,180,1280,720,idle,50,3.941,3.821,4.605,261.7
CPU,OV:CPU,4,320,180,1280,720,idle,50,2.442,2.229,3.577,448.7
dGPU,ORT:CUDA,4,480,270,1920,1080,idle,50,4.081,4.076,4.113,245.3
iGPU,OV:GPU,4,480,270,1920,1080,idle,50,8.581,8.582,8.801,116.5
CPU,OV:CPU,4,480,270,1920,1080,idle,50,6.102,6.159,7.211,162.4
dGPU,ORT:CUDA,4,640,360,2560,1440,idle,50,8.045,8.027,8.095,124.6
iGPU,OV:GPU,4,640,360,2560,1440,idle,50,17.369,17.323,18.399,57.7
CPU,OV:CPU,4,640,360,2560,1440,idle,50,17.408,17.173,20.571,58.2
dGPU,ORT:CUDA,4,960,540,3840,2160,idle,50,20.127,20.035,20.586,49.9
iGPU,OV:GPU,4,960,540,3840,2160,idle,50,35.585,35.486,36.688,28.2
CPU,OV:CPU,4,960,540,3840,2160,idle,50,40.378,38.934,47.181,25.7
dGPU,ORT:CUDA,4,1280,720,5120,2880,idle,50,36.167,36.007,37.017,27.8
iGPU,OV:GPU,4,1280,720,5120,2880,idle,50,81.893,81.566,84.954,12.3
CPU,OV:CPU,4,1280,720,5120,2880,idle,50,80.222,79.34,85.341,12.6
