device,backend,scale,in_w,in_h,out_w,out_h,load_tag,iters,mean_ms,p50_ms,p95_ms,fps_p50
dGPU,ORT:CUDA,4,480,270,1920,1080,idle,50,4.147,4.138,4.244,241.7
iGPU,OV:GPU,4,480,270,1920,1080,idle,50,8.729,8.738,9.007,114.4
CPU,OV:CPU,4,480,270,1920,1080,idle,50,5.943,6.061,7.141,165.0
dGPU,ORT:CUDA,4,480,270,1920,1080,cpu,50,4.184,4.151,4.467,240.9
iGPU,OV:GPU,4,480,270,1920,1080,cpu,50,8.39,8.358,8.582,119.6
CPU,OV:CPU,4,480,270,1920,1080,cpu,50,39.279,40.11,44.874,24.9
dGPU,ORT:CUDA,4,480,270,1920,1080,igpu,50,4.091,4.075,4.15,245.4
iGPU,OV:GPU,4,480,270,1920,1080,igpu,50,8.704,8.609,9.401,116.2
CPU,OV:CPU,4,480,270,1920,1080,igpu,50,6.236,6.265,7.783,159.6
dGPU,ORT:CUDA,4,480,270,1920,1080,dgpu,50,5.114,5.124,5.244,195.2
iGPU,OV:GPU,4,480,270,1920,1080,dgpu,50,9.365,9.353,9.583,106.9
CPU,OV:CPU,4,480,270,1920,1080,dgpu,50,8.976,8.763,10.566,114.1
