device,backend,scale,in_w,in_h,out_w,out_h,load_tag,iters,mean_ms,p50_ms,p95_ms,fps_p50
dGPU,ORT:CUDA,4,480,270,1920,1080,load0_util0,50,4.23,4.147,4.617,241.1
iGPU,OV:GPU,4,480,270,1920,1080,load0_util0,50,10.528,10.512,12.342,95.1
dGPU,ORT:CUDA,4,480,270,1920,1080,load1_util88,50,5.065,5.062,5.153,197.5
iGPU,OV:GPU,4,480,270,1920,1080,load1_util88,50,9.498,9.418,9.874,106.2
dGPU,ORT:CUDA,4,480,270,1920,1080,load2_util98,50,6.481,6.465,6.692,154.7
iGPU,OV:GPU,4,480,270,1920,1080,load2_util98,50,10.239,10.12,10.961,98.8
dGPU,ORT:CUDA,4,480,270,1920,1080,load3_util98,50,8.041,8.033,8.183,124.5
iGPU,OV:GPU,4,480,270,1920,1080,load3_util98,50,11.88,11.079,15.88,90.3
dGPU,ORT:CUDA,4,480,270,1920,1080,load4_util98,50,9.946,9.611,11.59,104.0
iGPU,OV:GPU,4,480,270,1920,1080,load4_util98,50,10.886,10.547,12.172,94.8
dGPU,ORT:CUDA,4,480,270,1920,1080,load5_util98,50,11.186,11.146,11.444,89.7
iGPU,OV:GPU,4,480,270,1920,1080,load5_util98,50,10.922,10.94,11.236,91.4
