scale,input_res,device,game_fps,delivered_fps,gpu_max
2,320x180,dGPU,58.85,58.60,94
2,320x180,iGPU,62.06,62.26,89
2,480x270,dGPU,53.78,53.56,96
2,480x270,iGPU,60.51,60.64,87
2,640x360,dGPU,44.69,44.72,94
2,640x360,iGPU,59.36,59.49,86
2,854x480,dGPU,33.99,33.88,94
2,854x480,iGPU,58.23,29.31,84
2,960x540,dGPU,29.76,29.72,95
2,960x540,iGPU,56.39,28.18,80
3,320x180,dGPU,58.41,58.39,92
3,320x180,iGPU,62.34,62.31,88
3,480x270,dGPU,53.23,53.17,95
3,480x270,iGPU,60.83,60.86,88
3,640x360,dGPU,44.06,44.03,94
3,640x360,iGPU,57.64,57.96,84
3,854x480,dGPU,33.32,33.21,94
3,854x480,iGPU,58.02,27.81,84
3,960x540,dGPU,29.30,29.34,95
3,960x540,iGPU,54.50,27.37,80
4,320x180,dGPU,59.83,59.66,94
4,320x180,iGPU,61.96,62.05,90
4,480x270,dGPU,52.52,52.48,93
4,480x270,iGPU,60.15,60.43,87
4,640x360,dGPU,43.18,43.16,94
4,640x360,iGPU,55.70,52.48,81
4,854x480,dGPU,32.64,32.57,94
4,854x480,iGPU,58.15,26.86,85
4,960x540,dGPU,29.01,29.00,96
4,960x540,iGPU,54.93,25.19,84
