scale,input_res,device,game_fps,delivered_fps,gpu_max
2,320x180,dGPU,39.49,39.46,83
2,320x180,iGPU,38.49,38.62,79
2,480x270,dGPU,37.22,38.33,90
2,480x270,iGPU,39.01,39.12,71
2,640x360,dGPU,34.85,34.75,89
2,640x360,iGPU,34.81,34.72,65
2,854x480,dGPU,27.82,27.87,88
2,854x480,iGPU,32.98,26.49,64
2,960x540,dGPU,25.32,25.32,92
2,960x540,iGPU,28.42,25.72,56
3,320x180,dGPU,41.61,41.50,81
3,320x180,iGPU,40.55,40.64,76
3,480x270,dGPU,39.44,39.25,86
3,480x270,iGPU,37.67,38.12,73
3,640x360,dGPU,33.98,33.95,89
3,640x360,iGPU,33.70,33.71,68
3,854x480,dGPU,23.34,23.13,93
3,854x480,iGPU,23.61,23.49,75
3,960x540,dGPU,18.60,18.71,93
3,960x540,iGPU,21.15,21.27,77
4,320x180,dGPU,24.21,24.32,84
4,320x180,iGPU,24.29,24.43,80
4,480x270,dGPU,24.34,24.32,88
4,480x270,iGPU,23.47,23.35,77
4,640x360,dGPU,23.43,24.82,90
4,640x360,iGPU,34.36,34.52,66
4,854x480,dGPU,26.94,26.85,91
4,854x480,iGPU,33.43,24.30,66
4,960x540,dGPU,24.70,24.62,92
4,960x540,iGPU,28.05,22.91,67
