scale,input_res,device,game_fps,delivered_fps,gpu_max
2,320x180,dGPU,53.58,53.45,83
2,320x180,iGPU,50.69,50.70,73
2,480x270,dGPU,49.09,49.06,87
2,480x270,iGPU,42.27,42.22,64
2,640x360,dGPU,42.77,42.74,92
2,640x360,iGPU,34.29,34.48,54
2,854x480,dGPU,32.87,32.86,95
2,854x480,iGPU,26.66,26.81,48
2,960x540,dGPU,28.54,28.64,95
2,960x540,iGPU,21.95,22.09,44
3,320x180,dGPU,54.23,54.30,84
3,320x180,iGPU,51.77,51.91,72
3,480x270,dGPU,49.36,49.55,89
3,480x270,iGPU,42.54,42.16,63
3,640x360,dGPU,42.28,42.21,93
3,640x360,iGPU,32.83,33.14,54
3,854x480,dGPU,32.45,32.46,95
3,854x480,iGPU,26.22,26.22,45
3,960x540,dGPU,28.13,28.09,95
3,960x540,iGPU,21.90,21.79,42
4,320x180,dGPU,49.92,49.75,83
4,320x180,iGPU,45.89,44.00,73
4,480x270,dGPU,27.47,26.84,87
4,480x270,iGPU,23.75,23.82,76
4,640x360,dGPU,24.09,24.16,93
4,640x360,iGPU,19.84,19.82,61
4,854x480,dGPU,21.78,21.80,95
4,854x480,iGPU,17.95,18.17,61
4,960x540,dGPU,19.86,19.86,96
4,960x540,iGPU,15.42,15.36,60
