scale,in_w,in_h,out_w,out_h,infer_ms,infer_fps,psnr_bicubic,ssim_bicubic,psnr_hybrid,ssim_hybrid,psnr_gain,ssim_gain
2,256,144,512,288,4.22,237.1,25.829,0.7298,25.801,0.7266,-0.028,-0.0032
2,320,180,640,360,6.83,146.5,26.466,0.7552,26.41,0.752,-0.057,-0.0032
2,426,240,852,480,14.97,66.8,27.274,0.788,27.085,0.7824,-0.188,-0.0056
2,480,270,960,540,16.68,60.0,28.205,0.8027,27.992,0.7982,-0.213,-0.0045
2,640,360,1280,720,28.47,35.1,28.379,0.8292,28.141,0.823,-0.238,-0.0062
2,854,480,1708,960,61.17,16.3,30.631,0.8891,30.502,0.8843,-0.129,-0.0048
2,960,540,1920,1080,63.44,15.8,29.855,0.8762,30.038,0.8756,0.183,-0.0007
3,256,144,768,432,5.15,194.3,25.164,0.6863,25.743,0.7032,0.578,0.0169
3,320,180,960,540,7.82,127.9,25.318,0.7041,25.761,0.7163,0.443,0.0122
3,426,240,1278,720,18.03,55.5,26.511,0.7488,26.839,0.7561,0.327,0.0072
3,480,270,1440,810,19.08,52.4,27.792,0.78,28.109,0.7825,0.317,0.0025
3,640,360,1920,1080,33.44,29.9,26.322,0.7548,26.476,0.7508,0.154,-0.004
4,256,144,1024,576,6.22,160.8,24.737,0.6573,25.378,0.6728,0.641,0.0155
4,320,180,1280,720,10.52,95.1,25.417,0.6848,25.946,0.6957,0.529,0.0109
4,426,240,1704,960,20.44,48.9,26.199,0.7268,26.563,0.7327,0.364,0.0059
4,480,270,1920,1080,22.01,45.4,26.13,0.7063,26.44,0.7058,0.309,-0.0006
