run_id,timestamp,device,model,input_w,input_h,output_w,output_h,load_tag,warmup,iters,wall_s,mean_ms,std_ms,p50_ms,p90_ms,p99_ms,min_ms,max_ms,fps_mean,fps_p50,active_backend_name,psnr_vs_bicubic,ssim_vs_bicubic,image_source
20260618T111810,2026-06-18T11:18:10,iGPU_OV,FSRCNN_x4.xml,480,270,1080,1,idle,5,40,0.803,8.763,0.557,8.614,9.048,10.912,8.393,12.02,114.12,116.09,OV:GPU,30.3896,0.9217,synth:mixed
20260618T111810,2026-06-18T11:18:10,CPU_OV,FSRCNN_x4.xml,480,270,1080,1,idle,5,40,0.417,6.35,0.967,6.158,7.635,8.851,4.818,9.488,157.48,162.4,OV:CPU,30.3402,0.9206,synth:mixed
20260618T111815,2026-06-18T11:18:15,dGPU_OCL,FSRCNN_x4.pb,480,270,1920,1080,idle,5,40,4.468,90.023,4.005,88.576,95.143,102.771,85.709,103.569,11.11,11.29,NVIDIA GeForce RTX 5060,30.3603,0.9217,synth:mixed
20260618T111821,2026-06-18T11:18:21,iGPU_OV,FSRCNN_x4.xml,480,270,1080,1,cpu,5,40,1.363,10.201,1.093,9.997,10.188,14.689,8.977,16.619,98.03,100.03,OV:GPU,30.3896,0.9217,synth:mixed
20260618T111830,2026-06-18T11:18:30,CPU_OV,FSRCNN_x4.xml,480,270,1080,1,cpu,5,40,2.258,45.696,4.782,44.818,52.091,58.065,37.572,61.294,21.88,22.31,OV:CPU,30.3402,0.9206,synth:mixed
20260618T111856,2026-06-18T11:18:56,dGPU_OCL,FSRCNN_x4.pb,480,270,1920,1080,cpu,5,40,19.085,389.344,42.722,367.512,455.973,473.294,343.064,476.105,2.57,2.72,NVIDIA GeForce RTX 5060,30.3603,0.9217,synth:mixed
20260618T111907,2026-06-18T11:19:07,iGPU_OV,FSRCNN_x4.xml,480,270,1080,1,igpu,5,40,2.622,22.557,4.524,19.963,28.97,30.02,15.87,30.622,44.33,50.09,OV:GPU,30.3896,0.9217,synth:mixed
20260618T111916,2026-06-18T11:19:16,CPU_OV,FSRCNN_x4.xml,480,270,1080,1,igpu,5,40,3.778,73.274,13.758,68.555,92.445,108.05,56.074,112.617,13.65,14.59,OV:CPU,30.3402,0.9206,synth:mixed
20260618T111934,2026-06-18T11:19:34,dGPU_OCL,FSRCNN_x4.pb,480,270,1920,1080,igpu,5,40,12.81,259.013,32.081,269.281,278.064,306.602,178.481,316.592,3.86,3.71,NVIDIA GeForce RTX 5060,30.3603,0.9217,synth:mixed
20260618T111943,2026-06-18T11:19:43,iGPU_OV,FSRCNN_x4.xml,480,270,1080,1,dgpu,5,40,2.93,22.256,14.793,12.39,42.41,56.253,9.91,56.614,44.93,80.71,OV:GPU,30.3896,0.9217,synth:mixed
20260618T111954,2026-06-18T11:19:54,CPU_OV,FSRCNN_x4.xml,480,270,1080,1,dgpu,5,40,5.375,103.355,85.948,77.489,115.107,401.085,52.87,424.601,9.68,12.91,OV:CPU,30.3402,0.9206,synth:mixed
20260618T112021,2026-06-18T11:20:21,dGPU_OCL,FSRCNN_x4.pb,480,270,1920,1080,dgpu,5,40,22.302,462.199,316.92,351.595,854.582,1564.391,211.604,1586.081,2.16,2.84,NVIDIA GeForce RTX 5060,30.3603,0.9217,synth:mixed
